res_no,url_record
313,https://digitallibrary.un.org/record/280333?ln=en
314,https://digitallibrary.un.org/record/280334?ln=en
315,https://digitallibrary.un.org/record/280335?ln=en
316,https://digitallibrary.un.org/record/280336?ln=en
317,https://digitallibrary.un.org/record/280337?ln=en
318,https://digitallibrary.un.org/record/280338?ln=en
319,https://digitallibrary.un.org/record/280339?ln=en
320,https://digitallibrary.un.org/record/280340?ln=en
321,https://digitallibrary.un.org/record/280341?ln=en
322,https://digitallibrary.un.org/record/280342?ln=en
323,https://digitallibrary.un.org/record/280343?ln=en
324,https://digitallibrary.un.org/record/280344?ln=en
325,https://digitallibrary.un.org/record/280308?ln=en
326,https://digitallibrary.un.org/record/280309?ln=en
327,https://digitallibrary.un.org/record/280310?ln=en
328,https://digitallibrary.un.org/record/280311?ln=en
329,https://digitallibrary.un.org/record/280312?ln=en
330,https://digitallibrary.un.org/record/280313?ln=en
331,https://digitallibrary.un.org/record/280314?ln=en
332,https://digitallibrary.un.org/record/280315?ln=en
333,https://digitallibrary.un.org/record/280316?ln=en
334,https://digitallibrary.un.org/record/280317?ln=en
335,https://digitallibrary.un.org/record/280318?ln=en
336,https://digitallibrary.un.org/record/280319?ln=en
337,https://digitallibrary.un.org/record/280320?ln=en
338,https://digitallibrary.un.org/record/280321?ln=en
339,https://digitallibrary.un.org/record/280322?ln=en
340,https://digitallibrary.un.org/record/280323?ln=en
341,https://digitallibrary.un.org/record/280324?ln=en
342,https://digitallibrary.un.org/record/280325?ln=en
343,https://digitallibrary.un.org/record/280326?ln=en
344,https://digitallibrary.un.org/record/280327?ln=en
345,https://digitallibrary.un.org/record/280286?ln=en
346,https://digitallibrary.un.org/record/280287?ln=en
347,https://digitallibrary.un.org/record/280288?ln=en
348,https://digitallibrary.un.org/record/280289?ln=en
349,https://digitallibrary.un.org/record/280290?ln=en
350,https://digitallibrary.un.org/record/280291?ln=en
351,https://digitallibrary.un.org/record/280292?ln=en
352,https://digitallibrary.un.org/record/280293?ln=en
